kind,g,a,c,r,k,score,status
SHUFFLE,0.042683,1.000000,0.020649,0.426471,0.031008,0.304162,DENY
IDENTITY,0.042683,1.000000,0.021341,0.500000,1.000000,0.512805,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.485981,0.397196,DENY
REAL,0.030837,1.000000,0.014344,0.428571,0.601770,0.415105,DENY
SWAP,0.026820,0.869732,0.014344,0.571429,0.601770,0.416819,DENY
SHUFFLE,0.030837,1.000000,0.014344,0.455357,0.075758,0.315259,DENY
IDENTITY,0.030837,1.000000,0.015419,0.500000,1.000000,0.509251,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.601770,0.420354,DENY
REAL,0.040462,1.000000,0.018667,0.500000,0.611111,0.434048,DENY
SWAP,0.034653,0.856436,0.018667,0.500000,0.611111,0.404173,DENY
SHUFFLE,0.040462,1.000000,0.018667,0.424242,0.050725,0.306819,DENY
IDENTITY,0.040462,1.000000,0.020231,0.500000,1.000000,0.512139,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.611111,0.422222,DENY
REAL,0.020468,1.000000,0.010160,0.491935,0.627737,0.430060,DENY
SWAP,0.020173,0.985591,0.010160,0.508065,0.627737,0.430345,DENY
SHUFFLE,0.020468,1.000000,0.010160,0.493671,0.079470,0.320754,DENY
IDENTITY,0.020468,1.000000,0.010234,0.500000,1.000000,0.506140,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.627737,0.425547,DENY
REAL,0.000000,0.968627,0.000000,0.500000,0.609091,0.415544,DENY
SWAP,0.000000,1.000000,0.000000,0.500000,0.609091,0.421818,DENY
SHUFFLE,0.000000,0.968627,0.000000,0.500000,0.065041,0.306734,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,0.968627,0.000000,0.500000,0.609091,0.415544,DENY
REAL,0.021212,1.000000,0.010574,0.450980,0.612245,0.419002,DENY
SWAP,0.021084,0.993976,0.010574,0.549020,0.612245,0.437380,DENY
SHUFFLE,0.021212,1.000000,0.010574,0.462121,0.073620,0.313505,DENY
IDENTITY,0.021212,1.000000,0.010606,0.500000,1.000000,0.506364,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.612245,0.422449,DENY
REAL,0.022422,1.000000,0.010526,0.500000,0.654545,0.437499,DENY
SWAP,0.019841,0.884921,0.010526,0.500000,0.654545,0.413967,DENY
SHUFFLE,0.022422,1.000000,0.010526,0.468085,0.059259,0.312058,DENY
